track_id,instance,end_date,best_week_position,weeks_on_chart
4SSnFejRGlZikf02HLewEF,1,2019-06-22,14,20
4TnjEaWOeW0eKTKIEvJyCa,1,2019-12-28,36,5
4VUwkH455At9kENOfzTqmF,1,2019-02-16,26,27
4XiGKQqbmnMVxDzUj6j3f2,1,2019-08-17,48,25
4ZT9FnbFu1PaBfV3itxiqT,1,2019-04-06,39,4
4aPB8rSxGFISs0o6V2LrTy,1,2019-08-24,39,3
4ak7xjvBeBOcJGWFDX9w5n,1,2019-08-24,22,8
4bTZeO72FwMa6wKOiqoynL,1,2019-11-02,34,20
4bl1HBZliBuYpFZjWgefE4,1,2019-12-28,72,2
4evmHXcjt3bTUHD1cvny97,1,2019-12-21,13,24
4hPpVbbakQNv8YTHYaOJP4,1,2019-12-07,36,23
4iVD0fTHGxV9JWloujsL3s,1,2019-04-27,65,3
4kV4N9D1iKVxx1KLvtTpjS,1,2019-07-06,2,20
4pCEIQ6wBVuaJdER5bALtO,1,2019-05-25,76,5
4paAidoE8VAemwU4jgCc6l,1,2019-01-12,67,2
4sWuPniHClkInYAnzXAYUF,1,2019-12-28,37,14
4sjiIpEv617LDXaidKioOI,1,2019-12-28,34,15
4tNXntkAzQ5A2dfYRYGIIQ,1,2019-09-21,48,16
4vUmTMuQqjdnvlZmAH61Qk,1,2019-08-03,53,2
4w8niZpiMy6qz1mntFA5uM,1,2019-04-06,18,26
4yI3HpbSFSgFZtJP2kDe5m,1,2019-11-23,27,3
51Fjme0JiitpyXKuyQiCDo,1,2019-11-09,55,18
51Fjme0JiitpyXKuyQiCDo,2,2019-12-07,83,21
51w9Jbat1pLeWINGCpnQUR,1,2019-02-23,43,16
5274I4mUMnYczyeXkGDWZN,1,2019-01-26,72,13
56AMYGJzxBO6p8v0wEe9de,1,2019-12-28,11,18
577YBGuskWkVDCxZrLRB4v,2,2019-03-02,56,11
577YBGuskWkVDCxZrLRB4v,3,2019-04-13,57,15
577YBGuskWkVDCxZrLRB4v,4,2019-05-04,92,16
57vxBYXtHMk6H1aD29V7PU,1,2019-12-28,1,4
58q2HKrzhC3ozto2nDdN4z,1,2019-04-06,26,51
598yNsG1JFrGd4n2kMoz7F,1,2019-12-28,16,6
59ywHNwwchG4nZJMLyxSzd,1,2019-03-09,64,1
59ywHNwwchG4nZJMLyxSzd,2,2019-08-31,39,20
5DqdesEfbRyOlSS3Tf6c29,1,2019-10-05,70,15
5DxXgozhkPLgrbKFY91w0c,1,2019-12-28,33,4
5FDCDBFDKpf7TLzDx6r2Lp,1,2019-11-16,100,1
5KawlOMHjWeUjQtnuRs22c,1,2019-06-15,8,8
5N1o6d8zGcSZSeMFkOUQOk,1,2019-12-07,11,16
5PYQUBXc7NYeI1obMKSJK0,1,2019-09-07,15,13
5W83ErFkO3aKAIS1WMi6u0,1,2019-02-09,68,2
5W83ErFkO3aKAIS1WMi6u0,2,2019-02-23,80,3
5W83ErFkO3aKAIS1WMi6u0,3,2019-04-06,84,8
5W83ErFkO3aKAIS1WMi6u0,4,2019-05-18,83,11
5WHTFyqSii0lmT9R21abT8,1,2019-06-08,66,10
5YOkA7qd2983FtBQnP8sYx,1,2019-01-12,93,1
5bvnqVuq7UFl0txSlHpsfS,1,2019-12-07,63,1
5hVghJ4KaYES3BFUATCYn0,1,2019-09-07,13,15
5icOoE6VgqFKohjWWNp0Ac,1,2019-07-06,31,16
5j1yOqWONR9T6l43AzJ6Es,1,2019-12-28,73,3
5p7ujcrUXASCNwRaWNHR1C,1,2019-10-12,1,52
5r7WvQtyPfy1xch5zMgGRp,1,2019-10-05,75,2
5rU6kDNXZLXIinFezpbWbO,1,2019-04-06,89,1
5rU6kDNXZLXIinFezpbWbO,2,2019-08-24,87,10
5ravc2aiNoYmu9m37diYXW,1,2019-11-23,75,3
5ravc2aiNoYmu9m37diYXW,2,2019-12-28,58,5
5ry2OE6R2zPQFDO85XkgRb,1,2019-11-30,7,23
5tAa8Uaqr4VvA3693mbIhU,1,2019-02-23,76,7
5ug4vqGZ3eisGhY1IsziNX,1,2019-07-27,99,1
5w9c2J52mkdntKOmRLeM2m,1,2019-02-09,90,1
5w9c2J52mkdntKOmRLeM2m,2,2019-08-03,22,25
60SdxE8apGAxMiRrpbmLY0,2,2019-01-19,94,14
643PW82aBMUa1FiWi5VQY7,1,2019-09-14,69,1
67XyC1GdSkKb9sbRRkUDXS,1,2019-09-14,36,20
696DnlkuDOXcMAnKlTgXXK,1,2019-12-28,4,7
69dXVFCMiz3SL1L7M24NdX,1,2019-12-21,68,10
69dXVFCMiz3SL1L7M24NdX,2,2019-02-09,97,11
6CcJMwBtXByIz4zQLzFkKc,1,2019-04-13,53,1
6Gg1gjgKi2AK4e0qzsR7sd,1,2019-12-28,10,11
6Hj9jySrnFppAI0sEMCZpJ,1,2019-06-29,27,18
6Hj9jySrnFppAI0sEMCZpJ,2,2019-12-21,49,19
6IRdLKIyS4p7XNiP8r6rsx,1,2019-04-20,46,2
6IRdLKIyS4p7XNiP8r6rsx,2,2019-12-14,76,7
6LsAAHotRLMOHfCsSfYCsz,1,2019-10-19,2,23
6Ozh9Ok6h4Oi1wUSLtBseN,1,2019-12-28,11,12
6PYnUsNEpYC7A4BS2sjw3L,1,2019-10-19,73,10
6Qs4SXO9dwPj5GKvVOv8Ki,1,2019-11-30,7,45
6RRNNciQGZEXnqk8SQ9yv5,1,2019-11-16,2,21
6TqXcAFInzjp0bODyvrWEq,1,2019-12-14,3,43
6V9fHiv84WlVTg7CSnIVY2,1,2019-12-28,34,14
6WrI0LAC5M1Rw2MnX2ZvEg,1,2019-12-28,30,7
6X29iaaazwho3ab7GNue5r,1,2019-04-13,79,1
6XHVuErjQ4XNm6nDPVCxVX,1,2019-12-28,5,28
6YfTl5YupXOQBKiJJLrxcw,1,2019-12-28,59,5
6Z4rmc0uujCpl8yXe3yjgI,1,2019-03-16,75,1
6b2RcmUt1g9N9mQ3CbjX2Y,1,2019-12-14,24,20
6dPyzkyZwoj9LqjQXOFdVv,1,2019-09-28,16,16
6fIjnWrv46njJHLDAY2JdC,1,2019-04-20,93,2
6fTt0CH2t0mdeB2N9XFG5r,1,2019-12-28,5,26
6klLvorLoo1sxvZcjJIY8I,1,2019-12-14,57,8
6kls8cSlUyHW2BUOkDJIZE,1,2019-10-05,72,10
6kls8cSlUyHW2BUOkDJIZE,2,2019-12-28,56,19
6ocbgoVGwYJhOv1GgI9NsF,1,2019-09-14,1,33
6osaMSJh9NguagEDQcZaKx,1,2019-10-05,96,1
6tByydPskASjm9jTPkNQq0,1,2019-03-30,55,1
6tByydPskASjm9jTPkNQq0,2,2019-05-11,95,2
6tsOcBnaKgzK22yEiqRh8P,1,2019-04-20,69,2
6uFn47ACjqYkc0jADwEdj1,1,2019-10-05,11,27
6vWEAOUSxohKxhp0K1BsxL,1,2019-05-25,42,17
6vWEAOUSxohKxhp0K1BsxL,2,2019-06-08,98,18
6wyr4ReB05D9sJB1Rsmcqo,1,2019-10-12,81,1
6ya8ejoKgw906Y8LWclqrp,1,2019-06-15,26,10
6ya8ejoKgw906Y8LWclqrp,2,2019-06-29,99,11
6zeeWid2sgw4lap2jV61PZ,1,2019-08-24,8,48
735RSTb2xbtWbDtKD9XDYi,1,2019-11-23,96,4
74lnM5V6ecvoTPV0fvptx9,2,2019-01-26,84,6
78QR3Wp35dqAhFEc2qAGjE,1,2019-12-14,8,35
7COXchtUOMd6uIT6HvmRaI,1,2019-02-09,86,1
7COXchtUOMd6uIT6HvmRaI,2,2019-05-25,81,6
7CZyCXKG6d5ALeq41sLzbw,1,2019-12-28,8,15
7DcvwMAiqKJQD1rrdfxSDx,1,2019-10-19,12,20
7Feaw9WAEREY0DUOSXJLOM,1,2019-07-06,100,1
7LzouaWGFCy4tkXDOOnEyM,1,2019-11-30,52,11
7aiClxsDWFRQ0Kzk5KI5ku,1,2019-12-28,41,14
7azo4rpSUh8nXgtonC6Pkq,6,2019-11-09,44,19
7dt6x5M1jzdTEt8oCbisTK,1,2019-05-04,10,52
7eBqSVxrzQZtK2mmgRG6lC,1,2019-06-15,14,20
7f1zjZG77S891Uv4O68yfk,1,2019-12-28,59,19
7hDVYcQq6MxkdJGweuCtl9,2,2019-01-26,97,5
7hDVYcQq6MxkdJGweuCtl9,3,2019-02-16,96,6
7hDVYcQq6MxkdJGweuCtl9,4,2019-05-25,84,13
7hDVYcQq6MxkdJGweuCtl9,5,2019-07-20,85,20
7k4t7uLgtOxPwTpFmtJNTY,1,2019-11-30,78,2
7k4t7uLgtOxPwTpFmtJNTY,2,2019-12-14,95,3
7lAK3oHbfEnvUQWosrMMpR,3,2019-03-02,70,18
7oqftogUN82Q7VNy2TmTJW,1,2019-08-03,90,1
7pMRoGLEJuFM2wl5pt0R99,1,2019-03-09,49,1
7qEHsqek33rTcFNT9PFqLf,1,2019-12-28,1,32
7qEKqBCD2vE5vIBsrUitpD,1,2019-04-13,62,1
7qvsl2pYzrsYgPeFBN5jxp,1,2019-08-31,83,1
7qvsl2pYzrsYgPeFBN5jxp,2,2019-12-28,47,8
7rknFhrVDyxzTJkPSf7LoW,1,2019-10-19,71,14
7rvyVWja33WG9R97oeJAjx,1,2019-06-29,31,27
7sTtHHrD0zDpmzQzH3zegz,1,2019-02-02,51,12
7tgjDlQsMR8RvkdlNCJA58,1,2019-12-28,60,4
7x9nXsowok1JszkVztI5NI,1,2019-10-26,56,3
7yfi8B8opXjnRh4VZnOkz9,1,2019-08-10,27,17
